"Technology";"Region";"Installed_Cap"
"WND";"USA";103743
"WND";"Canada";13413
"WND";"Europe";172916
"WND";"OECD Pacific";12275
"WND";"CEI";1846
"WND";"China";203652
"WND";"India";37505
"WND";"Brazil";15438
"WND";"Middle East";8363
"WND";"Africa";5772
"WND";"Rest of Asia";4678
"WND";"Rest of Latin America";13692
"WNO";"USA";29
"WNO";"Canada";0
"WNO";"Europe";22031
"WNO";"OECD Pacific";138
"WNO";"CEI";0
"WNO";"China";5930
"WNO";"India";0
"WNO";"Brazil";0
"WNO";"Middle East";0
"WNO";"Africa";0
"WNO";"Rest of Asia";227
"WNO";"Rest of Latin America";0
"CSP";"USA";1758
"CSP";"Canada";0
"CSP";"Europe";2321
"CSP";"OECD Pacific";2
"CSP";"CEI";0
"CSP";"China";421
"CSP";"India";229
"CSP";"Brazil";0
"CSP";"Middle East";449
"CSP";"Africa";1086
"CSP";"Rest of Asia";5
"CSP";"Rest of Latin America";113
"CPV";"USA";35540
"CPV";"Canada";1996
"CPV";"Europe";80482
"CPV";"OECD Pacific";52936
"CPV";"CEI";5162
"CPV";"China";122745
"CPV";"India";20917
"CPV";"Brazil";2768
"CPV";"Middle East";6902
"CPV";"Africa";4996
"CPV";"Rest of Asia";9693
"CPV";"Rest of Latin America";6193
"RPV";"USA";23693
"RPV";"Canada";1331
"RPV";"Europe";53654
"RPV";"OECD Pacific";35291
"RPV";"CEI";3440
"RPV";"China";81830
"RPV";"India";13944
"RPV";"Brazil";1845
"RPV";"Middle East";4603
"RPV";"Africa";3327
"RPV";"Rest of Asia";6453
"RPV";"Rest of Latin America";4125
